DB01128,hsa-mir-32
DB00441,hsa-mir-320
DB01262,hsa-mir-320
DB00255,hsa-mir-320
DB00515,hsa-mir-320a
DB00619,hsa-mir-320a
DB00544,hsa-mir-320a
DB00295,hsa-mir-320a
DB00544,hsa-mir-320c
DB00295,hsa-mir-320c
DB00544,hsa-mir-320d
DB00526,hsa-mir-320d
DB01076,hsa-mir-323b
DB00441,hsa-mir-324
DB00322,hsa-mir-324
DB00762,hsa-mir-324
DB01030,hsa-mir-324
DB01234,hsa-mir-324
DB01204,hsa-mir-324
DB01229,hsa-mir-324
DB00570,hsa-mir-324
DB00255,hsa-mir-324
DB03843,hsa-mir-324
DB00396,hsa-mir-324
DB00169,hsa-mir-324
DB00515,hsa-mir-325
DB00441,hsa-mir-326
DB00441,hsa-mir-328
DB00907,hsa-mir-328
DB01151,hsa-mir-328
DB00822,hsa-mir-328
DB00570,hsa-mir-328
DB00619,hsa-mir-328
DB00997,hsa-mir-328
DB00441,hsa-mir-329
DB00255,hsa-mir-33
DB03843,hsa-mir-33
DB00441,hsa-mir-330
DB03843,hsa-mir-330
DB00515,hsa-mir-331
DB03843,hsa-mir-331
DB00169,hsa-mir-331
DB01076,hsa-mir-331
DB00255,hsa-mir-335
DB01169,hsa-mir-335
DB00441,hsa-mir-337
DB00783,hsa-mir-337
DB00255,hsa-mir-337
DB02546,hsa-mir-337
DB00169,hsa-mir-338
DB00441,hsa-mir-339
DB00126,hsa-mir-339
DB00169,hsa-mir-339
DB00227,hsa-mir-33b
DB00515,hsa-mir-340
DB00544,hsa-mir-340
DB00441,hsa-mir-342
DB00755,hsa-mir-342
DB00544,hsa-mir-342
DB00515,hsa-mir-342
DB00441,hsa-mir-345
DB02546,hsa-mir-345
DB00255,hsa-mir-345
DB01128,hsa-mir-345
DB00126,hsa-mir-345
DB00441,hsa-mir-346
DB00255,hsa-mir-346
DB00734,hsa-mir-346
DB00515,hsa-mir-34a
DB00480,hsa-mir-34a
DB01169,hsa-mir-34a
DB01356,hsa-mir-34a
DB00255,hsa-mir-34a
DB03843,hsa-mir-34a
DB01262,hsa-mir-34a
DB02546,hsa-mir-34a
DB01645,hsa-mir-34a
DB00544,hsa-mir-34a
DB01030,hsa-mir-34b
DB00783,hsa-mir-34b
DB03843,hsa-mir-34b
DB00997,hsa-mir-34b
DB00997,hsa-mir-34c
DB00544,hsa-mir-34c
DB01169,hsa-mir-34c
DB00544,hsa-mir-3545
DB00544,hsa-mir-3591
DB00544,hsa-mir-3606
DB00255,hsa-mir-361
DB03843,hsa-mir-361
DB00544,hsa-mir-3614
DB03843,hsa-mir-363
DB01169,hsa-mir-363
DB01128,hsa-mir-363
DB00755,hsa-mir-363
DB00544,hsa-mir-3647
DB00734,hsa-mir-365
DB00544,hsa-mir-365
DB00544,hsa-mir-3658
DB00544,hsa-mir-3659
DB00544,hsa-mir-3662
DB00544,hsa-mir-3668
DB01229,hsa-mir-367
DB00544,hsa-mir-3672
DB00544,hsa-mir-3673
DB00544,hsa-mir-3679
DB00544,hsa-mir-3682
DB00544,hsa-mir-3692
DB00255,hsa-mir-370
DB00396,hsa-mir-370
DB01248,hsa-mir-371
DB00255,hsa-mir-371
DB00136,hsa-mir-371
DB00396,hsa-mir-371
DB00544,hsa-mir-371
DB00441,hsa-mir-372
DB01169,hsa-mir-372
DB02546,hsa-mir-373
DB00441,hsa-mir-373
DB00255,hsa-mir-373
DB03843,hsa-mir-374
DB00313,hsa-mir-374
DB00396,hsa-mir-374a
DB00544,hsa-mir-374b
DB00169,hsa-mir-374b
DB00126,hsa-mir-375
DB00255,hsa-mir-375
DB02901,hsa-mir-375
DB00675,hsa-mir-375
DB00997,hsa-mir-375
DB01128,hsa-mir-375
DB02546,hsa-mir-376a
DB01128,hsa-mir-376a
DB01128,hsa-mir-376c
DB01128,hsa-mir-377
DB01169,hsa-mir-378
DB01262,hsa-mir-378
DB00480,hsa-mir-378
DB00544,hsa-mir-378i
DB02546,hsa-mir-379
DB00544,hsa-mir-379
DB01045,hsa-mir-379
DB00515,hsa-mir-380
DB00515,hsa-mir-381
DB02546,hsa-mir-381
DB01128,hsa-mir-381
DB02546,hsa-mir-382
DB00295,hsa-mir-382
DB02546,hsa-mir-383
DB00544,hsa-mir-383
DB00544,hsa-mir-3911
DB00544,hsa-mir-3914
DB00544,hsa-mir-3945
DB00515,hsa-mir-3974
DB00441,hsa-mir-409
